title,company-name,location,type,salary_package,company_requirements
Quality Control Executive,Pyrax Polymars,"Haridwar, Uttarakhand",Full-time ,"₹67,956","Monitoring & maintaining good housekeeping conditions in Q. C lab .
Testing of raw materials, packing materials, Intermediate & finished products as per laid…"
English Teacher,Universal Education3.7,"Dahisar, Mumbai, Maharashtra",Monday to Friday,"₹59,322","To follow school and curriculum guidelines.
To prepare lesson plans in accordance with school policy.
Models appropriate English communication for the purpose…"
Customer Service Representative,Unshaadi,"Delhi, Delhi",Internship," ₹15,000 - ₹25,000","Overall, this role will provide you with an excellent opportunity to gain practical experience in customer success and operations, and to develop your skills in…"
Social Media Executive,tofuu media,"Andheri, Mumbai, Maharashtra",Full-time,"₹65,792","Social media marketing: 3 years (Required).
Understand the basics of all social media platforms and daily posting.
Strategize and ideate for campaigns."
Women Empowerment Program,10Decoders Consultancy Services,"Remote in Chennai, Tamil Nadu",Internship,"₹66,258",10decoders brings strategic and technical expertise to build and support critical business applications and systems in data canters and public/private clouds.
Freelance Video Editor,The Internet Generation,"Remote in Chennai, Tamil Nadu",Permanent," ₹35,000 - ₹50,000","Must have excellent communication skills and attention to detail.
Proficiency in video editing software (Adobe Premiere Pro, Final Cut Pro, etc.) and a strong…"
"Stores and Logistics Officer (Bengaluru, India)",SmartLynx Airlines,"Bengaluru, Karnataka",Full-time,"₹30,108","This role is vital in ensuring the smooth flow of materials and parts within our operations in India.
Keep stock levels up-to-date through regular inventory…"
Operations Coordinator,NOKIA,India,Internship,"₹55,039","Covers the execution process after order intake as receiving and validating customer purchase order, equipment & service order management, procurement, delivery…"
Associate,PwC,"Bengaluru, Karnataka",Full-time," ₹15,000 - ₹50,000","Simply put, we focus on delivering business led, technology enabled change for our clients including industry specific enterprise resource planning and the…"
Video Editor,PEBBLES DIGITAL,Remote,Full-time ,"₹14,999","Creating videos that are short, punchy and engaging - IG Reels.
Coordinate with clients and video creators and direct them for video."
Science Teacher,Shlok International School,"Bengaluru, Karnataka",Monday to Friday,"₹44,026","Reporting students' progress to the parents and higher management.
Formal training or apprenticeship will be an advantage.
Ability to work in tense situations."
Content Writer,Medhavi Skills University,"Gangtok, Sikkim",Full-time," ₹3,00,000 - ₹4,00,000","Understanding and analyzing requirement of client;
We are looking to hire a dedicated Content writer to create content for blogs, articles, product descriptions…"
Medical scribe,Medical Scribing Academy,Remote,Full-time ,"₹60,180","Plus Two or any Degree.
Job Types: Full-time, Fresher."
Customer Service Representative,Unshaadi,"Delhi, Delhi",part-time,"₹69,266","Overall, this role will provide you with an excellent opportunity to gain practical experience in customer success and operations, and to develop your skills in…"
Packaging QC Designer,LanceTech Solutions Pvt Ltd,Remote,Full-time,"₹43,984",Setting up and Maintaining Controls: Establishing and managing processes for error analysis and documentation to track and address any issues that arise during…
Spoken English Trainer,ENTRI APP,Remote,part-time,"₹50,378","Shift Time- 7 am to 10am, 6pm to 10pm*.
Spoken English Trainers for One on One.
The ideal candidate will have the ability to teach students of all ages, from…"
Maintenance InCharge - Hospital,Sagar Hospitals,"Jayanagar, Bengaluru, Karnataka",Internship," ₹50,000 - ₹60,000",Analyzing the problems facing day to day and providing/arranging for the best possible solution to enable us to run the system smoothly.
Dispatch Assistant,Absolute Distribution Solutions Pvt. Ltd,"Remote in Srinagar, Jammu and Kashmir",Full-time,"₹51,096","This is a full-time on-site role.
The Dispatcher will be responsible for coordinating and managing logistics operations, communicating with delivery Boys and…"
Customer Service Representative (Arabic & English),Binance,Remote in Tamil Nadu,Full-time,"₹78,784","Minimum 1 year experience in customer service, preferably in finance or E-commerce industry.
Support other business units with customer liaison, accurately…"
Customer Service Executive,Stuba.com,"Remote in Aundh, Pune, Maharashtra",part-time," From ₹30,000","Main responsibility involves handling incoming customer calls and requests in line with our quality standards, procedures and guidelines in order to sell and…"
Presales Executive(Freshers also can apply),MAHENDRA HOMES PVT LTD,"Bengaluru, Karnataka",Full-time,"₹76,664","Pitch solutions to a customer and explain all the features and benefits of our service.
Assist the sales team in qualifying potential customers."
Data Entry Executive,The Hermitage Park,"Mohali, Punjab",Internship,"₹15,059","Accurate data entry of payment details, invoices, and customer information.
Maintaining and updating customer account information."
Drug Safety Associate,Fusion Market Research,"Gujrat, West Bengal",Internship," ₹18,000 - ₹30,000","Monitoring safety literature to stay current on the latest safety information related to the company's products.
Job Types: Full-time, Permanent, Fresher."
Customer Service Coordinator,ZEBRONICS INDIA PVT LTD,"Dehradun, Uttarakhand",Full-time,"₹76,884","Job Types: Full-time, Permanent.
Jodhpur, Rajasthan: Reliably commute or planning to relocate before starting work (Required).
Total work: 1 year (Preferred)."
Python Internship,QUEST INNOVATIVE SOLUTIONS,"Calicut, Kerala",Internship,"₹26,152","Qualification - Graduation (Computer science and electonics).
Online and Offline classes available."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,part-time," ₹40,000 - ₹50,000","Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
CONTENT WRITER,DhuMall,"Remote in Chennai, Tamil Nadu",Contractual / Temporary ,"₹68,038",We are seeking talented and experienced Content Writers who can create engaging digital content for client companies that provides precise information or…
Accounts Associate,Emmersive Infotech,"Remote in Pune, Maharashtra",Permanent," ₹22,000 - ₹24,000","We are seeking an experienced Accounts Associate to join our accounting team.
Manage and reconcile general ledger accounts, including bank statements and other…"
International Voice process,Neelam Enterprise,"Vadodara, Gujarat",Full-time ,"₹52,953","SKILLS: GOOD COMMUNICATION SKILLS & BASIC COMPUTING SKILLS.
SALARY BEST IN INDUSTRY PLUS NIGHT ALLOWANCE.
Job Types: Full-time, Permanent, Fresher."
Wanted for newly opening Resort at vagamon,resorts vagamon,"Kottayam, Kerala",Monday to Friday ,"₹62,923","Job Types: Full-time, Permanent."
Governance Risk & Control,Barclays,"Pune, Maharashtra",Permanent,"₹67,129","If you currently hold a work visa sponsored by Barclays, or you would require sponsorship from Barclays, you must declare this as part of your application."
Data Science Intern,Wahy Lab Solutions,"Kochi, Kerala",Full-time," ₹2,40,000 - ₹3,50,000","Job Types: Full-time, Permanent, Fresher."
Customer chat Support Executive,Crowdnetic Technologies Private Limited,"Hyderabad, Telangana",Full-time ,"₹58,517","Co-founders are just a call away.
Address all customer and agent requests and queries within established timeframes and service levels.
Age*: up to 30 years."
Process Associate,Kriya Nextwealth Private Limited,"Vellore, Tamil Nadu",Full-time,"₹43,355",Expected to have strong business communication skills and ability to communicate with internal/external stakeholders clearly and concisely.
MIS Executive-Male candidate,Vilcart Solutions Pvt Ltd,"Bengaluru, Karnataka",Permanent," Up to ₹1,80,000","* Interpreting specifications and creating IT solutions that adhere to all requirements and financial restrictions.
Language known-Kannada,tamil,telegu*."
Junior Assistant - PSGPT,PSG,"Coimbatore, Tamil Nadu",Full-time ,"₹26,731","If you are graduate in any specialization with good knowledge of computer skills, people skills and ready to work in an encouraging environment then this is for…"
Content Writer Intern,Phailaav,Remote,Full-time,"₹67,654","Research industry trends and stay up-to-date with relevant news and developments.
Collaborate with the Social Media team to develop content strategies aligned…"
Academic Content Writer,WritingOwlz Writing Services,"Remote in Kolkata, West Bengal",Full-time," ₹6,000 - ₹7,000","Higher pay compared to others in the industry.
Job Type – Freelance Employment as an Academic Content Writer (Remote) in WritingOwlz Writing Services."
Office Assistant,Petrocon engg & inspection Private Limited,"Pimpri-Chinchwad, Maharashtra",Full-time ,"₹70,942","Document Management: Handle incoming and outgoing documents, maintaining proper storage, retrieval, and distribution.
Higher Secondary(12th Pass) (Required)."
Content Writer,IC3 Institute,Remote,Full-time,"₹36,100","In this role, you'll create and manage content for social media, emails, presentations, printed materials, and our website, ensuring consistency across all IC3…"
Office Assistant,Petrocon engg & inspection Private Limited,"Pimpri-Chinchwad, Maharashtra",Permanent," ₹3,50,000 - ₹4,30,000","Pay: ₹20,000.00 - ₹25,000.00 per month.
Document Management: Handle incoming and outgoing documents, maintaining proper storage, retrieval, and distribution."
MIS Executive,KDK Software India Pvt. Ltd.,"Shyam Nagar, Jaipur, Rajasthan",Full-time,"₹66,787","In this Role of MIS & Data Analytics Specialist, it is required to provide qualitative information on the data in generated from different sources from…"
Social Media Intern,Zastraa,Remote,part-time,"₹30,271","This is a paid 3-month project, with the potential for full-time employment based on performance.
We’re actively running Meta ads on Instagram and Facebook to…"
"Ambitious, Friendly, Fresher, Well Spoken for Global Sales Team",Eprenz.com,Remote,Full-time ,"₹69,858","We provide events to support the promotion and growth of our members, education, and business coaching services.
Must be an excellent communicator in English."
Design Intern,SparkPlus Technologies,Remote,Full-time,"₹64,974","Join us as a Design Intern and gain practical experience in both UI/UX design and graphic design.
Networking Opportunities: Connect with professionals in the…"
Mobilizer,TUSTI Skill Learning Center | TUSTI Foundation,"Guwahati, Assam",part-time," ₹20,000 - ₹45,000","Pay: ₹20,000.00 - ₹45,000.00 per month.
Providing market information and insights of particular areas to HO..
Job Types: Full-time, Freelance."
INTERNATIONAL TELESALES,Votiko 24 *7,"Bengaluru, Karnataka",Full-time ,"₹40,275",Here is an organisation that provides a wide array of value-added services that helps you meet your telemarketing and digital marketing solutions.
Freelance Interior Designer,Amr Ghar,Remote,part-time,"₹38,961","Proven experience in sales and marketing, preferably in the interior design industry.
Collaboration: Work closely with the design and operations teams to…"
Excel Expert,Sawariya Futureworks Limited,"Bandra, Mumbai, Maharashtra",Internship," ₹20,000 - ₹70,000","The candidate should have 3 to 4 years experience in working on Excel & Advance Excel.
Pay: ₹30,000.00 - ₹40,000.00 per month.
Total work: 2 years (Preferred)."
Customer Service Representative,[24]7.ai,"Marathahalli, Bengaluru, Karnataka",Full-time ,"₹72,784","These jobs include product and service support or technical support in which the customer is calling to solve an issue.
5 Days working 2 week off."
Executive Documentation,Sunbreeze Renewables Private Limited,"Bellary, Karnataka",Monday to Friday ,"₹26,909","Additionally, he manages document archiving and retrieval, ensuring easy access and adherence to industry standards.
Pay: ₹25,000.00 - ₹40,000.00 per month."
Financial Assistant,British Institutes,"Remote in Pune, Maharashtra",Permanent," ₹1,50,413.21 - ₹4,50,335.27","A. Please note note this is a work from home job*.
Identification of Options charts.
Do you understand the Stock Market?
Pay: ₹3,000.00 - ₹6,000.00 per month."
Front Office Supervisor,MANGO HILL RESORTS AND HOTELS,"Udagamandalam, Tamil Nadu",Full-time ,"₹47,497","Total work: 3 years (Preferred).
Pay: Up to ₹22,000.00 per month.
Front office supervisor with 3+ years experience in front office can apply for this job."
voice process,Technogradient,"Sholinganallur, Chennai, Tamil Nadu",Monday to Friday ,"₹74,992","Handle incoming calls or chats to address customer queries.
Update customer information including contact information and purchasing preferences."
Computer Operator,Commando Industril Security Force,"Ranchi, Jharkhand",Full-time," ₹25,000 - ₹40,000","Pay: From ₹18,000.00 per month.
Intermediate (10+2) or ITI Certificate from Government Recognized University/ Institute.
Data entry: 1 year (Preferred)."
voice process,Technogradient,"Sholinganallur, Chennai, Tamil Nadu",Permanent," ₹10,00,000 - ₹12,00,000","Handle incoming calls or chats to address customer queries.
Update customer information including contact information and purchasing preferences."
Email Support Executive,money tracker services,"Noida, Uttar Pradesh",Full-time ,"₹23,643","Assisting Customer if they are facing a problem.
Directly call on 9274684182* or whsatspp your resume on 9274684182.
Work from office (No work from home)*."
SEO Intern/Trainee,TechMile,Remote,part-time,"₹77,959","Knowledge of MS Office / Google Drive.
Data/Article Posting on Websites.
Knowledge of Social Platform(Facebook, Instagram, etc)."
Operation Executive,Finplan Edu,Remote,Full-time," ₹21,200 - ₹26,200",Maintaining consistency in effectively managing all the Academic processes from the date of commencement till the end of the batch.
Tutor,crutz leela,"Jhansi, Uttar Pradesh",Full-time ,"₹46,289","Doubt Clearing: Conduct doubt-clearing sessions and provide personalized support to address individual student queries.
Job Type:* Part-time / Full-time."
US Recruiter (Fresher),Infojini Inc,"Thane, Maharashtra",Monday to Friday ,"₹18,450","Or any graduation related to healthcare or pharma And Any HR & IT Graduates.
3.Establish strong relationships with consultants/contractors."
Travel Agent,Travelwings,"Ajmer, Rajasthan",part-time," ₹17,000 - ₹20,000","organize travel from beginning to end and book tickets.
arrange for meals when requested.
means of travel regarding prices."
Online Marketing Executive,AD EDITZ OFFICIAL,"Remote in Thiruvananthapuram, Kerala",Full-time,"₹65,907","Flexibile time, part time, work from home.
Job Types: Part-time, Fresher, Freelance."
Equity Trader,NIFM Educational Institutions,Remote,part-time,"₹35,684",Keyskills : Experience- Fresher can apply Remuneration-Profit sharing basis Eligibility- Candidate should have the good knowledge of stock market.
Security Officer,Se Services,"Delhi, Delhi",Full-time," ₹35,000 - ₹40,000","Conducts regular walk-through and security inspections for assigned facilities.
Takes proactive steps to provide a safe and secure working environment to staff…"
Supervisor,Tower & Transmission Company,"Bikaner, Rajasthan",Full-time,"₹42,356","Measuring and Cutting of structure as per drawing from client.
Supervising of Foundation, Erction, stringing of transmission line upto 765 KV."
Billing Executive,Consultinx Busicore Private Limited,"Sitapur, Uttar Pradesh",Permanent,"₹58,774","Experience: 1-3 years of experience in medical billing, insurance processing, or hospital billing.
Ensure that all necessary documentation for corporate…"
